Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL
CERA,Buy,6183.0,6054.5,5829.65,6513.75,SL Hit,5829.65,2026-08-14,2.94,0.92,2.94,0.92,-2.01,1.91,3.04,1.41,3.04,0.92,-2.01,1.80,4.14,1.29,4.14,0.92,-2.85,2.29,2.67,-3.57,4.14,-3.57,-7.71,-1.96,-0.57,-2.80,4.14,-3.57,-7.71,-2.42,-1.34,-4.03,4.14,-4.03,-8.17,-3.21,-2.42,-5.02,4.14,-5.02,-9.16,-4.81,-3.77,-4.58,4.14,-5.02,-9.16,-4.16,-3.30,-5.71,4.14,-5.71,-9.85,-5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORDSCHLO,Sell,142.37,144.57000732421875,153.86,131.04,Open,,,-2.82,-5.36,-2.82,-5.36,-5.36,-3.62,0.26,-5.35,0.26,-5.36,-5.61,-0.19,-0.19,-3.70,0.26,-5.36,-5.61,-1.59,0.22,-4.66,0.26,-5.36,-5.61,-1.24,0.75,-3.88,0.75,-5.36,-5.61,-0.04,1.66,-0.40,1.66,-5.36,-5.61,1.29,4.47,-1.85,4.47,-5.36,-6.32,3.27,3.17,-0.44,4.47,-5.36,-6.32,2.81,3.27,1.03,4.47,-5.36,-6.32,2.70,5.16,0.26,5.16,-5.36,-6.32,1.68,6.58,-0.06,6.58,-5.36,-6.64,6.29,7.14,3.22,7.14,-5.36,-6.64,6.55,7.00,3.49,7.14,-5.36,-6.64,5.72,5.84,3.53,7.14,-5.36,-6.64,5.35,7.92,1.66,7.92,-5.36,-6.64,7.11,7.89,4.01,7.92,-5.36,-6.64,5.53,4.62,0.96,7.92,-5.36,-6.96,1.99,3.55,1.29,7.92,-5.36,-6.96,2.07,4.12,-2.14,7.92,-5.36,-10.06,1.49,5.80,1.49,7.92,-5.36,-10.06,4.50,5.11,2.42,7.92,-5.36,-10.06,4.15,5.75,2.38,7.92,-5.36,-10.06,2.87,2.37,-0.26,7.92,-5.36,-10.06,0.58
SPLPETRO,Buy,705.35,693.9,655.3,758.49,Open,,,2.64,0.66,2.64,0.66,-1.98,1.62,2.38,-0.20,2.64,-0.20,-2.84,0.09,0.96,-1.04,2.64,-1.04,-3.68,-0.38,0.32,-1.69,2.64,-1.69,-4.33,-0.55,-0.55,-2.18,2.64,-2.18,-4.82,-1.64,-0.86,-3.33,2.64,-3.33,-5.97,-2.85,3.74,-2.95,3.74,-3.33,-6.68,2.88,4.35,1.37,4.35,-3.33,-6.68,1.60,3.84,0.60,4.35,-3.33,-6.68,3.01,4.01,0.84,4.35,-3.33,-6.68,2.57,3.20,-0.05,4.35,-3.33,-6.68,0.23,1.03,-0.76,4.35,-3.33,-6.68,-0.39,0.65,-1.31,4.35,-3.33,-6.68,-0.66,-0.16,-1.59,4.35,-3.33,-6.68,-1.07,-0.09,-2.44,4.35,-3.33,-6.79,-1.98,-0.40,-2.45,4.35,-3.33,-6.80,-0.72,1.65,-0.60,4.35,-3.33,-6.80,0.42,1.40,-2.03,4.35,-3.33,-6.80,-1.89,1.65,-1.90,4.35,-3.33,-6.80,-0.64,5.41,-0.72,5.41,-3.33,-6.80,3.36,3.33,0.38,5.41,-3.33,-6.80,1.86,2.68,1.14,5.41,-3.33,-6.80,2.34,3.14,1.73,5.41,-3.33,-6.80,2.90
