Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL
KRISHNADEF,Sell,1281.55,1323.7088790638002,1437.7,1199.51,TP Hit,1199.51,2026-08-04,6.40,2.89,6.40,2.89,-3.51,6.40,,,,,,,,,,,,,,,,,,
PARAS,Sell,1293.61,1359.0652082729819,1489.96,1269.52,TP Hit,1269.52,2026-08-07,1.66,-1.73,1.66,-1.73,-3.39,-0.52,0.65,-2.12,1.66,-2.12,-3.78,-0.13,1.66,-3.59,1.66,-3.59,-5.25,-1.78,1.86,-2.88,1.86,-3.59,-5.25,1.86
