Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL
GULFPETRO,Buy,37.99,36.71,33.66,41.28,TP Hit,55.07,2026-08-04,44.96,44.96,44.96,44.96,0.00,44.96
VISHNU,Sell,640.14,647.6890652200825,692.1,594.18,TP Hit,594.18,2026-08-04,7.18,5.22,7.18,5.22,-1.96,7.18
