Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL
DBREALTY,Buy,104.7,102.3,93.48,113.45,Open,,,3.92,-0.53,3.92,-0.53,-4.45,1.32
DPABHUSHAN,Sell,1461.7,1490.0,1567.91,1387.78,Open,,,1.15,-1.73,1.15,-1.73,-2.88,-1.42
FCL,Sell,43.55,45.099998474121094,48.52,42.15,Open,,,0.28,-9.99,0.28,-9.99,-10.26,-8.91
MCLOUD,Sell,29.57,29.889999389648438,32.41,26.98,Open,,,6.66,-4.50,6.66,-4.50,-11.16,-2.37
SCODATUBES,Buy,126.68,126.07,119.14,142.49,Open,,,3.47,0.00,3.47,0.00,-3.47,1.71
SGFIN,Sell,684.65,698.5,738.67,658.28,Open,,,0.53,-1.56,0.53,-1.56,-2.09,-0.37
