Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL
AEGISLOG,Sell,1341.5,1424.4000244140625,1524.12,1295.43,TP Hit,1295.43,2026-08-27,2.27,-1.47,2.27,-1.47,-3.73,1.48,2.27,0.34,2.27,-1.47,-3.73,0.73,3.43,0.62,3.43,-1.47,-3.73,3.43
IOLCP,Sell,169.08,170.69000244140625,184.46,160.61,SL Hit,184.46,2026-08-26,0.86,-4.39,0.86,-4.39,-5.25,-1.95,-2.51,-9.10,0.86,-9.10,-9.96,-9.10,,,,,,
