Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL,2026-09-04_DayMaxProfit,2026-09-04_DayMaxLoss,2026-09-04_MaxProfit,2026-09-04_MaxLoss,2026-09-04_MaxDrawdown,2026-09-04_CurrentPnL,2026-09-07_DayMaxProfit,2026-09-07_DayMaxLoss,2026-09-07_MaxProfit,2026-09-07_MaxLoss,2026-09-07_MaxDrawdown,2026-09-07_CurrentPnL,2026-09-08_DayMaxProfit,2026-09-08_DayMaxLoss,2026-09-08_MaxProfit,2026-09-08_MaxLoss,2026-09-08_MaxDrawdown,2026-09-08_CurrentPnL,2026-09-09_DayMaxProfit,2026-09-09_DayMaxLoss,2026-09-09_MaxProfit,2026-09-09_MaxLoss,2026-09-09_MaxDrawdown,2026-09-09_CurrentPnL,2026-09-10_DayMaxProfit,2026-09-10_DayMaxLoss,2026-09-10_MaxProfit,2026-09-10_MaxLoss,2026-09-10_MaxDrawdown,2026-09-10_CurrentPnL,2026-09-11_DayMaxProfit,2026-09-11_DayMaxLoss,2026-09-11_MaxProfit,2026-09-11_MaxLoss,2026-09-11_MaxDrawdown,2026-09-11_CurrentPnL
AEGISLOG,Buy,1235.4,1202.0,1116.32,1345.9,TP Hit,1345.9,2026-09-09,4.82,0.01,4.82,0.01,-4.81,4.19,7.44,2.40,7.44,0.01,-5.04,2.82,3.50,0.21,7.44,0.01,-7.23,1.48,3.12,-0.28,7.44,-0.28,-7.72,2.65,8.94,2.69,8.94,-0.28,-7.72,8.94,,,,,,,,,,,,
ALPHAGEO,Buy,294.0,289.9,260.42,349.72,Open,,,7.14,2.79,7.14,2.79,-4.35,7.14,12.18,7.86,12.18,2.79,-4.35,10.15,12.93,8.23,12.93,2.79,-4.69,10.39,11.56,8.27,12.93,2.79,-4.69,9.90,12.21,5.54,12.93,2.79,-7.39,10.54,11.70,7.28,12.93,2.79,-7.39,9.46,8.16,2.94,12.93,2.79,-9.99,5.53
BASF,Buy,3813.2,3742.0,3622.84,4108.87,SL Hit,3622.84,2026-09-11,2.22,-0.08,2.22,-0.08,-2.30,0.50,2.46,0.42,2.46,-0.08,-2.30,1.36,1.75,-0.87,2.46,-0.87,-3.33,-0.66,-0.05,-1.81,2.46,-1.81,-4.27,-0.64,0.18,-2.18,2.46,-2.18,-4.64,-1.76,-0.79,-3.54,2.46,-3.54,-6.00,-3.28,-3.42,-4.99,2.46,-4.99,-7.45,-4.99
MUTHOOTFIN,Buy,2913.9,2870.0,2747.67,3137.35,SL Hit,2747.67,2026-09-11,2.47,0.43,2.47,0.43,-2.04,0.43,2.27,-0.03,2.47,-0.03,-2.50,-0.00,0.21,-1.47,2.47,-1.47,-3.94,-1.16,-0.49,-1.55,2.47,-1.55,-4.02,-0.49,-1.67,-4.06,2.47,-4.06,-6.53,-3.39,-2.06,-3.65,2.47,-4.06,-6.53,-2.48,-3.22,-5.70,2.47,-5.70,-8.17,-5.70
RBZJEWEL,Sell,162.8,176.39999389648438,194.59,151.36,SL Hit,197,2026-09-04,1.72,-19.02,1.72,-19.02,-20.74,-17.74,-21.01,-21.01,1.72,-21.01,-22.73,-21.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIGARE,Sell,249.68,249.77999877929688,262.46,234.17,Open,,,0.83,-2.31,0.83,-2.31,-3.14,-0.89,0.63,-3.49,0.83,-3.49,-4.32,-2.96,-1.73,-4.33,0.83,-4.33,-5.16,-2.31,-1.09,-2.75,0.83,-4.33,-5.16,-1.97,0.40,-3.11,0.83,-4.33,-5.16,-2.79,-1.87,-4.77,0.83,-4.77,-5.60,-3.64,-1.39,-3.63,0.83,-4.77,-5.60,-2.86
SSWL,Sell,341.45,353.25,380.48,295.61,SL Hit,380.48,2026-09-07,-2.88,-7.37,-2.88,-7.37,-7.37,-5.67,-2.06,-7.10,-2.06,-7.37,-7.37,-5.97,-7.03,-11.43,-2.06,-11.43,-11.43,-11.43,,,,,,,,,,,,,,,,,,,,,,,,
