Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL
BALUFORGE,Sell,472.75,474.04998779296875,506.49,435.11,SL Hit,506.49,2026-08-14,7.77,5.55,7.77,5.55,-2.22,7.04,6.62,4.62,7.77,4.62,-3.15,5.68,6.07,1.66,7.77,1.66,-6.11,3.02,4.23,-1.30,7.77,-1.30,-9.07,0.78,2.92,-0.56,7.77,-1.30,-9.07,2.44,3.88,0.99,7.77,-1.30,-9.07,2.91,3.75,0.37,7.77,-1.30,-9.07,2.06,6.60,1.11,7.77,-1.30,-9.07,5.61,4.99,-7.14,7.77,-7.14,-14.91,-7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROWW,Buy,199.69,194.49,185.46,203.52,TP Hit,203.52,2026-08-25,-1.35,-4.35,-1.35,-4.35,-4.35,-4.19,-2.65,-4.10,-1.35,-4.35,-4.35,-3.93,-3.32,-5.80,-1.35,-5.80,-5.80,-5.33,-4.04,-5.15,-1.35,-5.80,-5.80,-4.60,-2.70,-5.45,-1.35,-5.80,-5.80,-3.18,-2.80,-3.95,-1.35,-5.80,-5.80,-3.10,-0.85,-3.65,-0.85,-5.80,-5.80,-1.21,0.01,-1.20,0.01,-5.80,-5.80,-0.85,-0.72,-2.55,0.01,-5.80,-5.80,-1.76,0.08,-1.86,0.08,-5.80,-5.80,-0.50,-0.72,-4.42,0.08,-5.80,-5.80,-2.94,-0.76,-3.10,0.08,-5.80,-5.80,-2.78,1.16,-2.99,1.16,-5.80,-5.80,0.52,0.98,-2.35,1.16,-5.80,-5.80,-1.34,0.43,-2.57,1.16,-5.80,-5.80,-1.61,1.92,-1.79,1.92,-5.80,-5.80,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JINDALPOLY,Buy,658.25,647.95,604.3,736.37,Open,,,-4.00,-5.96,-4.00,-5.96,-5.96,-5.08,-3.99,-5.52,-3.99,-5.96,-5.96,-4.83,-1.56,-4.97,-1.56,-5.96,-5.96,-3.87,-3.23,-6.18,-1.56,-6.18,-6.18,-5.81,-3.99,-5.81,-1.56,-6.18,-6.18,-4.52,-3.53,-5.64,-1.56,-6.18,-6.18,-4.37,5.20,-3.15,5.20,-6.18,-8.35,1.26,4.60,-1.48,5.20,-6.18,-8.35,-1.03,-0.81,-4.27,5.20,-6.18,-9.47,-3.33,4.81,-1.09,5.20,-6.18,-9.47,1.12,1.49,-2.16,5.20,-6.18,-9.47,-1.76,-1.48,-3.91,5.20,-6.18,-9.47,-3.02,-2.04,-3.59,5.20,-6.18,-9.47,-3.23,-2.53,-3.61,5.20,-6.18,-9.47,-3.14,-0.96,-3.50,5.20,-6.18,-9.47,-3.25,-0.42,-3.97,5.20,-6.18,-9.47,-1.77,-1.21,-3.05,5.20,-6.18,-9.47,-2.56,-1.86,-3.37,5.20,-6.18,-9.47,-3.14,-2.47,-3.86,5.20,-6.18,-9.47,-3.40,-1.94,-4.44,5.20,-6.18,-9.64,-4.09,5.50,-5.80,5.50,-6.18,-11.30,5.50,8.61,1.94,8.61,-6.18,-11.30,4.25,5.04,2.40,8.61,-6.18,-11.30,3.87
JISLJALEQS,Sell,35.76,35.9900016784668,39.4,33.11,TP Hit,31.29,2026-08-04,12.50,12.50,12.50,12.50,0.00,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOREPENLAB,Sell,52.12,52.619998931884766,55.75,49.79,SL Hit,57.65,2026-08-04,-10.61,-10.61,-10.61,-10.61,-10.61,-10.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUPA,Sell,168.9,172.2899932861328,180.96,156.14,TP Hit,156.14,2026-08-12,4.09,2.04,4.09,2.04,-2.04,3.56,4.80,2.31,4.80,2.04,-2.49,4.28,4.09,-0.38,4.80,-0.38,-5.18,0.76,2.87,0.36,4.80,-0.38,-5.18,2.40,3.13,1.48,4.80,-0.38,-5.18,2.14,6.39,2.49,6.39,-0.38,-5.18,6.00,7.55,4.92,7.55,-0.38,-5.18,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
