Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL,2026-09-04_DayMaxProfit,2026-09-04_DayMaxLoss,2026-09-04_MaxProfit,2026-09-04_MaxLoss,2026-09-04_MaxDrawdown,2026-09-04_CurrentPnL
AURUM,Buy,220.7,219.95,206.41,229.19,SL Hit,206.41,2026-08-04,6.44,-6.47,6.44,-6.47,-12.91,-6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS,Buy,769.25,743.27,716.7,804.87,TP Hit,804.87,2026-08-04,4.63,2.57,4.63,2.57,-2.06,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KREBSBIO,Buy,56.96,55.5,48.75,65.04,Open,,,-0.11,-4.83,-0.11,-4.83,-4.83,-4.69,-2.56,-5.02,-0.11,-5.02,-5.02,-4.99,-1.95,-5.18,-0.11,-5.18,-5.18,-4.30,1.65,-4.85,1.65,-5.18,-6.50,-3.37,2.70,-2.56,2.70,-5.18,-6.50,0.47,0.47,-3.44,2.70,-5.18,-6.50,-1.69,5.13,-3.95,5.13,-5.18,-9.08,-3.81,1.83,-2.72,5.13,-5.18,-9.08,-1.81,-1.69,-6.04,5.13,-6.04,-11.17,-4.14,-1.33,-4.81,5.13,-6.04,-11.17,-4.04,-0.32,-3.30,5.13,-6.04,-11.17,-2.05,-2.09,-5.09,5.13,-6.04,-11.17,-4.97,-2.04,-6.95,5.13,-6.95,-12.08,-3.09,-3.63,-6.76,5.13,-6.95,-12.08,-5.88,-3.84,-6.95,5.13,-6.95,-12.08,-6.69,-4.53,-6.97,5.13,-6.97,-12.10,-5.58,-3.46,-7.20,5.13,-7.20,-12.33,-6.95,1.83,-6.95,5.13,-7.20,-12.33,-1.32,8.85,-1.28,8.85,-7.20,-12.33,3.88,4.92,-2.39,8.85,-7.20,-12.33,-1.18,-1.18,-5.55,8.85,-7.20,-14.40,-4.34,-0.19,-3.93,8.85,-7.20,-14.40,-3.60,-0.98,-5.81,8.85,-7.20,-14.66,-4.32,-0.81,-4.41,8.85,-7.20,-14.66,-1.77
MGL,Buy,1104.8,1074.69,1030.87,1172.33,TP Hit,1172.33,2026-08-19,2.19,0.38,2.19,0.38,-1.81,0.62,1.99,0.61,2.19,0.38,-1.81,0.93,2.58,0.30,2.58,0.30,-2.28,1.71,3.55,1.01,3.55,0.30,-2.53,3.15,4.92,1.38,4.92,0.30,-3.55,1.70,3.46,0.92,4.92,0.30,-4.00,2.67,3.01,0.83,4.92,0.30,-4.09,1.24,2.82,0.99,4.92,0.30,-4.09,1.90,5.23,2.05,5.23,0.30,-4.09,3.07,4.35,1.48,5.23,0.30,-4.09,2.20,1.23,-0.43,5.23,-0.43,-5.66,0.60,6.11,1.47,6.11,-0.43,-5.66,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOL,Buy,46.39,46.1,44.01,50.89,TP Hit,54.36,2026-08-04,17.18,17.18,17.18,17.18,0.00,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPST,Buy,1603.2,1571.8,1449.84,1727.07,SL Hit,1435,2026-08-12,-2.76,-6.44,-2.76,-6.44,-6.44,-5.11,-2.69,-6.09,-2.69,-6.44,-6.44,-3.97,-3.71,-6.06,-2.69,-6.44,-6.44,-5.75,-4.88,-6.94,-2.69,-6.94,-6.94,-6.10,0.80,-7.40,0.80,-7.40,-8.20,-2.39,-0.20,-5.18,0.80,-7.40,-8.20,-4.25,-10.49,-10.49,0.80,-10.49,-11.29,-10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSWALGREEN,Buy,21.8,21.61,19.58,26.4,SL Hit,19.58,2026-09-03,3.21,-2.94,3.21,-2.94,-6.15,-1.28,1.83,-1.15,3.21,-2.94,-6.15,0.92,5.05,0.50,5.05,-2.94,-6.15,1.24,4.82,-1.33,5.05,-2.94,-6.38,1.10,1.06,-0.92,5.05,-2.94,-6.38,-0.37,0.83,-2.48,5.05,-2.94,-7.53,-1.47,-0.50,-3.90,5.05,-3.90,-8.95,-3.44,-1.10,-3.44,5.05,-3.90,-8.95,-2.16,-1.56,-3.90,5.05,-3.90,-8.95,-3.72,-1.61,-5.60,5.05,-5.60,-10.65,-3.30,-1.83,-4.36,5.05,-5.60,-10.65,-4.04,-3.35,-4.95,5.05,-5.60,-10.65,-4.17,-1.93,-3.72,5.05,-5.60,-10.65,-2.43,-1.42,-4.59,5.05,-5.60,-10.65,-4.36,-1.61,-4.77,5.05,-5.60,-10.65,-3.67,-2.43,-4.59,5.05,-5.60,-10.65,-3.76,-2.61,-5.37,5.05,-5.60,-10.65,-4.63,-2.84,-4.91,5.05,-5.60,-10.65,-4.13,-2.52,-5.28,5.05,-5.60,-10.65,-4.86,-4.91,-9.82,5.05,-9.82,-14.87,-7.75,-4.91,-7.71,5.05,-9.82,-14.87,-6.38,-5.09,-7.75,5.05,-9.82,-14.87,-6.15,-5.18,-10.18,5.05,-10.18,-15.23,-10.18,,,,,,
RBA,Buy,74.47,73.0,69.1,78.74,TP Hit,78.9,2026-08-04,5.95,5.95,5.95,5.95,0.00,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
