Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL
BALAMINES,Buy,2284.8,2217.9,1998.08,2335.04,SL Hit,1998.08,2026-08-04,-5.24,-12.01,-5.24,-12.01,-12.01,-11.36,-9.14,-12.55,-5.24,-12.55,-12.55,-12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEAFORGE,Sell,860.25,870.6500244140625,938.06,844.66,SL Hit,938.06,2026-08-07,-1.14,-4.50,-1.14,-4.50,-4.50,-3.12,-1.13,-4.24,-1.13,-4.50,-4.50,-2.56,-0.55,-2.88,-0.55,-4.50,-4.50,-1.41,0.03,-6.48,0.03,-6.48,-6.51,-6.48,-4.39,-9.05,0.03,-9.05,-9.08,-9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHASTEEL,Buy,769.2,751.35,672.1,856.21,TP Hit,1000,2026-08-03,30.01,30.01,30.01,30.01,0.00,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELTD,Buy,174.03,173.4,159.66,183.32,SL Hit,158.93,2026-08-17,-1.86,-5.48,-1.86,-5.48,-5.48,-4.15,-2.61,-6.38,-1.86,-6.38,-6.38,-3.14,0.79,-2.89,0.79,-6.38,-6.38,-1.36,-0.30,-3.19,0.79,-6.38,-6.38,-2.24,-0.88,-5.41,0.79,-6.38,-6.38,-3.87,-2.32,-6.90,0.79,-6.90,-7.69,-4.29,-2.35,-5.23,0.79,-6.90,-7.69,-2.90,-0.59,-4.04,0.79,-6.90,-7.69,-3.87,-2.15,-4.04,0.79,-6.90,-7.69,-2.64,-1.75,-5.76,0.79,-6.90,-7.69,-5.36,-8.68,-8.68,0.79,-8.68,-9.47,-8.68
SHARDAMOTR,Buy,834.55,834.0,792.41,895.13,TP Hit,895.13,2026-08-03,7.26,4.40,7.26,4.40,-2.86,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
