Date,Open,High,Low,Close,Volume,up_n,down_n,body_n,upper_bb,middle_bb,lower_bb
2026-05-18 01:21:00+03:00,4544.68,4545.13,4539.055,4539.825,453,7.4,12.7,79.9,4556.973306415085,4546.2808,4535.588293584916
2026-05-18 01:22:00+03:00,4539.885,4540.85,4538.175,4540.15,593,26.2,63.9,9.9,4556.8373575441365,4546.3604,4535.883442455863
2026-05-18 01:23:00+03:00,4540.015,4545.385,4539.39,4544.0,343,23.1,10.4,66.5,4556.614157704601,4546.5782,4536.542242295399
2026-05-18 01:24:00+03:00,4544.015,4546.0,4544.015,4545.43,240,28.7,0.0,71.3,4556.363325084859,4546.850799999999,4537.33827491514
2026-05-18 01:25:00+03:00,4545.315,4545.7,4539.9,4541.49,244,6.6,27.4,65.9,4556.158981859619,4546.9588,4537.758618140381
2026-05-18 01:26:00+03:00,4541.475,4541.955,4538.855,4541.895,221,1.9,84.5,13.5,4556.017130528873,4547.042,4538.066869471128
2026-05-18 01:27:00+03:00,4542.045,4543.77,4540.875,4541.495,135,59.6,21.4,19.0,4555.92711793537,4547.0924,4538.257682064629
2026-05-18 01:28:00+03:00,4541.615,4544.095,4541.365,4543.67,204,15.6,9.2,75.3,4555.7700753943145,4547.2134,4538.656724605685
2026-05-18 01:29:00+03:00,4543.625,4543.625,4541.14,4541.145,128,0.0,0.2,99.8,4555.900340791819,4547.0396,4538.178859208181
2026-05-18 01:30:00+03:00,4541.13,4548.295,4541.03,4548.17,339,1.7,1.4,96.9,4555.422518852461,4546.8566,4538.29068114754
2026-05-18 01:31:00+03:00,4548.17,4551.26,4546.55,4547.96,544,65.6,29.9,4.5,4555.166826276391,4546.741599999999,4538.316373723608
2026-05-18 01:32:00+03:00,4547.97,4549.205,4545.205,4546.135,241,30.9,23.3,45.9,4555.010378038127,4546.629999999999,4538.249621961872
2026-05-18 01:33:00+03:00,4546.16,4546.505,4544.195,4545.07,293,14.9,37.9,47.2,4554.63314945348,4546.4036,4538.17405054652
2026-05-18 01:34:00+03:00,4545.02,4548.0,4544.38,4544.65,240,82.3,7.5,10.2,4553.791862754094,4546.0534,4538.314937245906
2026-05-18 01:35:00+03:00,4544.645,4548.935,4544.645,4548.44,237,11.5,0.0,88.5,4553.1470720188645,4545.871,4538.594927981136
2026-05-18 01:36:00+03:00,4548.45,4548.605,4547.18,4547.795,168,10.9,43.2,46.0,4552.466434670855,4545.6778,4538.889165329144
2026-05-18 01:37:00+03:00,4547.805,4550.215,4547.545,4548.515,279,63.7,9.7,26.6,4551.67176541684,4545.4908,4539.30983458316
2026-05-18 01:38:00+03:00,4548.505,4552.905,4548.16,4550.82,648,43.9,7.3,48.8,4551.739735794571,4545.506599999999,4539.2734642054265
2026-05-18 01:39:00+03:00,4550.76,4552.735,4550.415,4551.25,432,64.0,14.9,21.1,4552.15805964532,4545.620599999999,4539.083140354679
2026-05-18 01:40:00+03:00,4551.105,4553.91,4550.425,4552.705,651,34.6,19.5,45.9,4552.906617321764,4545.8312,4538.755782678235
2026-05-18 01:41:00+03:00,4552.695,4553.485,4548.82,4549.51,459,16.9,14.8,68.3,4552.92182504438,4545.8362,4538.750574955619
2026-05-18 01:42:00+03:00,4549.42,4552.88,4547.945,4552.88,361,0.0,29.9,70.1,4553.682354554757,4546.0816,4538.480845445242
2026-05-18 01:43:00+03:00,4552.59,4553.43,4551.24,4553.065,307,16.7,61.6,21.7,4554.193706233359,4546.2216,4538.249493766641
2026-05-18 01:44:00+03:00,4553.085,4553.085,4549.92,4549.92,252,0.0,0.0,100.0,4554.504102496793,4546.4256,4538.347097503206
2026-05-18 01:45:00+03:00,4549.68,4553.85,4549.44,4553.845,448,0.1,5.4,94.4,4555.338823386034,4546.7932,4538.247576613966
2026-05-18 01:46:00+03:00,4553.915,4554.46,4552.675,4552.905,373,30.5,12.9,56.6,4555.691389683052,4547.3164,4538.941410316947
2026-05-18 01:47:00+03:00,4552.895,4553.85,4551.85,4552.42,426,47.7,28.5,23.8,4555.87734402932,4547.8072,4539.737055970681
2026-05-18 01:48:00+03:00,4552.43,4552.705,4551.57,4552.02,331,24.2,39.6,36.1,4556.204883062856,4548.128000000001,4540.051116937145
2026-05-18 01:49:00+03:00,4552.015,4552.24,4551.655,4551.77,242,38.5,19.7,41.9,4556.501722028472,4548.381600000001,4540.2614779715295
2026-05-18 01:50:00+03:00,4551.76,4552.005,4548.92,4549.235,427,7.9,10.2,81.8,4556.311763518218,4548.691400000001,4541.071036481783
2026-05-18 01:51:00+03:00,4549.225,4550.785,4549.2,4549.48,297,82.3,1.6,16.1,4556.094847030596,4548.9948,4541.894752969405
2026-05-18 01:52:00+03:00,4549.5,4551.42,4549.355,4550.32,328,53.3,7.0,39.7,4555.766031581439,4549.3478000000005,4542.929568418562
2026-05-18 01:53:00+03:00,4550.335,4550.605,4547.18,4547.205,472,7.9,0.7,91.4,4555.546459236186,4549.4892,4543.431940763814
2026-05-18 01:54:00+03:00,4547.2,4548.905,4546.97,4547.115,469,88.1,7.5,4.4,4554.848944445053,4549.728,4544.607055554947
2026-05-18 01:55:00+03:00,4547.11,4548.295,4546.785,4546.82,441,78.5,2.3,19.2,4554.887162573377,4549.674,4544.460837426623
2026-05-18 01:56:00+03:00,4546.815,4547.18,4543.67,4545.16,656,10.4,42.5,47.2,4555.0316464253465,4549.562,4544.092353574653
