Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL
IFBIND,Buy,1341.0,1331.1,1281.33,1429.53,Open,,,-0.16,-3.71,-0.16,-3.71,-3.71,-2.95
NSLNISP,Sell,47.11,48.349998474121094,51.2,44.73,Open,,,4.08,1.13,4.08,1.13,-2.95,3.18
TREJHARA,Buy,149.0,146.0,134.52,173.96,Open,,,0.68,-4.69,0.68,-4.69,-5.38,-2.70
WOCKPHARMA,Sell,1898.6,1974.9000244140625,2113.71,1891.19,TP Hit,1883.7,2026-09-01,0.78,0.78,0.78,0.78,0.00,0.78
