Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL
DHUNINV,Sell,961.72,972.988262864312,1052.61,879.84,SL Hit,1052.61,2026-08-13,0.06,-2.73,0.06,-2.73,-2.79,-1.09,0.44,-9.45,0.44,-9.45,-9.89,-9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWARKESH,Sell,41.68,42.130001068115234,44.35,38.21,SL Hit,44.35,2026-08-14,1.32,-1.30,1.32,-1.30,-2.62,0.29,0.91,-5.09,1.32,-5.09,-6.41,-2.74,-2.47,-6.41,1.32,-6.41,-7.73,-6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDNIPPON,Buy,1132.1,1124.4,998.87,1189.92,Open,,,3.70,-1.02,3.70,-1.02,-4.73,2.75,4.19,-1.51,4.19,-1.51,-5.70,-1.04,1.46,-1.25,4.19,-1.51,-5.70,-0.79,1.76,-0.92,4.19,-1.51,-5.70,0.57,0.95,-2.10,4.19,-2.10,-6.29,-1.04,-0.72,-2.26,4.19,-2.26,-6.45,-1.94,-0.63,-3.65,4.19,-3.65,-7.84,-2.76,-0.79,-3.25,4.19,-3.65,-7.84,-2.33
IRIS,Buy,246.36,239.8,217.32,262.75,Open,,,2.29,-2.58,2.29,-2.58,-4.87,1.94,3.30,-3.39,3.30,-3.39,-6.70,-2.29,0.17,-3.80,3.30,-3.80,-7.10,-2.99,3.70,-3.80,3.70,-3.80,-7.50,0.16,4.62,-2.54,4.62,-3.80,-7.50,1.55,3.39,-1.36,4.62,-3.80,-7.50,-0.58,2.29,-0.15,4.62,-3.80,-7.50,0.71,3.42,-1.36,4.62,-3.80,-7.50,-1.00
MANCREDIT,Buy,247.05,239.52,209.36,251.9,Open,,,0.42,-1.64,0.42,-1.64,-2.06,-1.46,1.60,-2.45,1.60,-2.45,-4.05,-2.10,-0.20,-4.47,1.60,-4.47,-6.07,-3.63,-2.83,-5.69,1.60,-5.69,-7.29,-4.18,-1.36,-8.93,1.60,-8.93,-10.53,-8.03,-5.41,-11.07,1.60,-11.07,-12.67,-10.13,-5.89,-10.10,1.60,-11.07,-12.67,-9.11,-7.03,-13.00,1.60,-13.00,-14.60,-11.73
THEMISMED,Buy,113.11,111.96,101.79,114.77,TP Hit,114.77,2026-08-13,1.41,-6.55,1.41,-6.55,-7.96,-3.95,1.47,-9.57,1.47,-9.57,-11.04,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
