Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL,2026-09-04_DayMaxProfit,2026-09-04_DayMaxLoss,2026-09-04_MaxProfit,2026-09-04_MaxLoss,2026-09-04_MaxDrawdown,2026-09-04_CurrentPnL
INOXGREEN,Buy,174.32,170.0,155.97,194.33,Open,,,3.13,-2.48,3.13,-2.48,-5.61,2.28,2.97,-1.96,3.13,-2.48,-5.61,2.27,3.26,-1.62,3.26,-2.48,-5.61,0.94,3.55,-1.33,3.55,-2.48,-5.61,2.93,3.83,0.13,3.83,-2.48,-5.61,3.26,6.13,1.25,6.13,-2.48,-5.61,5.79,7.70,0.50,7.70,-2.48,-7.21,7.42,8.42,4.52,8.42,-2.48,-7.21,7.25,8.13,3.26,8.42,-2.48,-7.21,7.31,6.80,2.28,8.42,-2.48,-7.21,4.14,4.51,1.77,8.42,-2.48,-7.21,3.06,2.68,-0.18,8.42,-2.48,-8.60,0.90,2.28,-0.76,8.42,-2.48,-9.18,0.44,2.81,-0.69,8.42,-2.48,-9.18,2.31,2.29,-0.50,8.42,-2.48,-9.18,1.11,1.10,-1.92,8.42,-2.48,-10.34,-0.46,0.76,-1.33,8.42,-2.48,-10.34,0.09,0.15,-2.13,8.42,-2.48,-10.55,-1.23,1.77,-3.63,8.42,-3.63,-12.05,-0.03,-0.18,-5.48,8.42,-5.48,-13.90,-4.27,-4.27,-8.94,8.42,-8.94,-17.36,-8.05,-4.37,-8.72,8.42,-8.94,-17.36,-5.78,-0.50,-7.26,8.42,-8.94,-17.36,-1.90,1.37,-3.22,8.42,-8.94,-17.36,0.45
KAYNES,Sell,3805.0,3830.0,4001.73,3175.68,SL Hit,4001.73,2026-08-26,0.26,-1.97,0.26,-1.97,-2.23,-1.84,-1.66,-4.16,0.26,-4.16,-4.42,-2.44,-0.45,-3.25,0.26,-4.16,-4.42,-0.66,-0.03,-2.47,0.26,-4.16,-4.42,-1.35,7.10,-1.08,7.10,-4.16,-8.17,1.84,4.32,-1.71,7.10,-4.16,-8.81,2.29,2.75,-1.45,7.10,-4.16,-8.81,-0.60,1.68,-1.16,7.10,-4.16,-8.81,1.17,4.07,0.42,7.10,-4.16,-8.81,3.81,4.60,1.97,7.10,-4.16,-8.81,4.05,4.34,2.39,7.10,-4.16,-8.81,4.23,4.36,-0.60,7.10,-4.16,-8.81,-0.48,0.13,-2.42,7.10,-4.16,-9.52,-0.26,0.18,-2.85,7.10,-4.16,-9.95,-2.23,-0.93,-4.17,7.10,-4.17,-11.27,-0.93,0.03,-5.03,7.10,-5.03,-12.13,-3.44,-3.50,-5.17,7.10,-5.17,-12.27,-5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONEPOINT,Sell,56.9,58.0,60.46,54.85,SL Hit,60.46,2026-08-07,1.23,-1.74,1.23,-1.74,-2.97,-0.05,1.39,-1.76,1.39,-1.76,-3.15,-0.51,1.25,-0.93,1.39,-1.76,-3.15,-0.35,-1.05,-6.26,1.39,-6.26,-7.65,-6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
