Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-09-09_DayMaxProfit,2026-09-09_DayMaxLoss,2026-09-09_MaxProfit,2026-09-09_MaxLoss,2026-09-09_MaxDrawdown,2026-09-09_CurrentPnL,2026-09-10_DayMaxProfit,2026-09-10_DayMaxLoss,2026-09-10_MaxProfit,2026-09-10_MaxLoss,2026-09-10_MaxDrawdown,2026-09-10_CurrentPnL,2026-09-11_DayMaxProfit,2026-09-11_DayMaxLoss,2026-09-11_MaxProfit,2026-09-11_MaxLoss,2026-09-11_MaxDrawdown,2026-09-11_CurrentPnL,2026-09-15_DayMaxProfit,2026-09-15_DayMaxLoss,2026-09-15_MaxProfit,2026-09-15_MaxLoss,2026-09-15_MaxDrawdown,2026-09-15_CurrentPnL,2026-09-16_DayMaxProfit,2026-09-16_DayMaxLoss,2026-09-16_MaxProfit,2026-09-16_MaxLoss,2026-09-16_MaxDrawdown,2026-09-16_CurrentPnL,2026-09-17_DayMaxProfit,2026-09-17_DayMaxLoss,2026-09-17_MaxProfit,2026-09-17_MaxLoss,2026-09-17_MaxDrawdown,2026-09-17_CurrentPnL,2026-09-18_DayMaxProfit,2026-09-18_DayMaxLoss,2026-09-18_MaxProfit,2026-09-18_MaxLoss,2026-09-18_MaxDrawdown,2026-09-18_CurrentPnL
ANGELONE,Sell,298.0,303.79998779296875,317.98,282.38,Open,,,2.15,-1.90,2.15,-1.90,-4.04,-0.35,0.62,-1.12,2.15,-1.90,-4.04,0.23,3.00,-3.15,3.00,-3.15,-6.16,-2.35,0.23,-4.03,3.00,-4.03,-7.03,0.17,2.15,-0.44,3.00,-4.03,-7.03,1.51,1.96,0.02,3.00,-4.03,-7.03,1.01,1.01,-1.26,3.00,-4.03,-7.03,-0.37
GUJAPOLLO,Sell,342.2,348.04998779296875,380.48,341.37,TP Hit,341.37,2026-09-09,0.24,-1.81,0.24,-1.81,-2.05,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IONEXCHANG,Sell,431.75,436.0,469.72,382.43,Open,,,0.64,-2.84,0.64,-2.84,-3.47,-1.32,-0.42,-3.91,0.64,-3.91,-4.55,-0.86,1.18,-6.77,1.18,-6.77,-7.96,-3.23,0.41,-5.89,1.18,-6.77,-7.96,-0.06,3.93,-0.06,3.93,-6.77,-7.96,1.27,2.52,-0.91,3.93,-6.77,-7.96,1.71,1.97,-3.49,3.93,-6.77,-7.96,-2.44
JKPAPER,Sell,415.3,420.04998779296875,443.37,384.77,Open,,,2.05,-0.87,2.05,-0.87,-2.91,1.55,2.23,-1.83,2.23,-1.83,-4.06,0.04,2.05,-0.85,2.23,-1.83,-4.06,0.25,3.68,-0.41,3.68,-1.83,-4.09,3.18,4.45,-1.13,4.45,-1.83,-5.59,-0.49,0.31,-6.43,4.45,-6.43,-10.88,-0.66,-0.40,-4.26,4.45,-6.43,-10.88,-3.68
SMSPHARMA,Sell,399.15,402.70001220703125,460.07,370.35,SL Hit,460.07,2026-09-11,-0.73,-4.65,-0.73,-4.65,-4.65,-2.04,-1.97,-5.47,-0.73,-5.47,-5.47,-4.58,-3.86,-15.26,-0.73,-15.26,-15.26,-15.26,,,,,,,,,,,,,,,,,,,,,,,,
TATATECH,Buy,798.5,785.0,750.14,856.89,SL Hit,750.14,2026-09-16,-0.56,-1.94,-0.56,-1.94,-1.94,-1.36,0.56,-3.19,0.56,-3.19,-3.76,-2.44,-2.69,-5.06,0.56,-5.06,-5.62,-4.55,-1.07,-5.79,0.56,-5.79,-6.35,-4.91,-2.84,-6.06,0.56,-6.06,-6.62,-6.06,,,,,,,,,,,,
UTTAMSUGAR,Buy,287.55,285.4,257.66,324.97,SL Hit,257.66,2026-09-15,0.85,-2.76,0.85,-2.76,-3.62,-1.32,-0.19,-3.25,0.85,-3.25,-4.10,-1.79,-0.19,-4.09,0.85,-4.09,-4.94,-2.68,-2.38,-10.39,0.85,-10.39,-11.24,-10.39,,,,,,,,,,,,,,,,,,
