Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL
AEGISVOPAK,Buy,269.9,267.0,246.75,292.58,TP Hit,292.58,2026-09-03,1.04,-3.06,1.04,-3.06,-4.09,-0.43,0.78,-3.41,1.04,-3.41,-4.45,0.07,6.82,-1.33,6.82,-3.41,-8.15,6.08,8.40,4.91,8.40,-3.41,-8.15,8.40
APARINDS,Sell,17803.0,17858.0,18764.82,16859.36,TP Hit,16859.36,2026-09-02,1.42,-1.35,1.42,-1.35,-2.77,0.57,2.82,-0.65,2.82,-1.35,-3.47,2.26,5.30,2.02,5.30,-1.35,-3.47,5.30,,,,,,
JAIBALAJI,Sell,69.23,70.30000305175781,75.16,65.54,Open,,,0.69,-5.00,0.69,-5.00,-5.69,-4.23,-0.92,-7.18,0.69,-7.18,-7.87,-1.75,0.27,-4.38,0.69,-7.18,-7.87,-1.98,-1.98,-3.42,0.69,-7.18,-7.87,-2.34
PNGJL,Buy,598.0,595.0,562.91,643.65,Open,,,0.38,-3.08,0.38,-3.08,-3.46,-2.36,-0.38,-2.97,0.38,-3.08,-3.46,-1.90,-0.69,-5.84,0.38,-5.84,-6.22,-0.99,0.75,-1.67,0.75,-5.84,-6.22,-1.13
ROSSTECH,Sell,1104.6,1111.8499755859375,1201.04,1084.87,Open,,,1.23,-3.20,1.23,-3.20,-4.43,-0.48,0.78,-4.83,1.23,-4.83,-6.06,-2.86,-1.39,-4.96,1.23,-4.96,-6.19,-2.66,-0.44,-3.63,1.23,-4.96,-6.19,-1.06
SONATSOFTW,Buy,304.6,290.5,274.75,311.77,Open,,,0.62,-4.63,0.62,-4.63,-5.25,-4.12,-3.17,-6.73,0.62,-6.73,-7.35,-5.12,-4.48,-7.42,0.62,-7.42,-8.04,-5.02,-3.69,-6.93,0.62,-7.42,-8.04,-6.76
