Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL
CUB,Sell,197.5,203.79077831074034,213.33,186.03,SL Hit,213.33,2026-08-07,-1.64,-3.80,-1.64,-3.80,-3.80,-2.01,-2.02,-4.14,-1.64,-4.14,-4.14,-3.57,-2.90,-6.38,-1.64,-6.38,-6.38,-5.51,-5.06,-8.02,-1.64,-8.02,-8.02,-8.02
IXIGO,Sell,182.83,183.47000122070312,197.02,155.42,SL Hit,200,2026-08-04,-9.39,-9.39,-9.39,-9.39,-9.39,-9.39,,,,,,,,,,,,,,,,,,
ONESOURCE,Buy,1623.4,1622.0,1521.9,1794.98,SL Hit,1521.9,2026-08-04,-3.68,-6.25,-3.68,-6.25,-6.25,-6.25,,,,,,,,,,,,,,,,,,
