Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL
PNBHOUSING,Buy,991.66,983.82,923.6,1010.39,TP Hit,1091.9,2026-08-04,10.11,10.11,10.11,10.11,0.00,10.11,,,,,,,,,,,,,,,,,,
SUDARSCHEM,Buy,883.9,881.96,827.9,997.92,TP Hit,1069.9,2026-08-04,21.04,21.04,21.04,21.04,0.00,21.04,,,,,,,,,,,,,,,,,,
WCIL,Buy,94.0,93.59,88.63,99.19,SL Hit,88.63,2026-08-07,-2.34,-3.91,-2.34,-3.91,-3.91,-2.78,-1.71,-4.13,-1.71,-4.13,-4.13,-3.55,-2.99,-5.21,-1.71,-5.21,-5.21,-4.38,-3.19,-5.71,-1.71,-5.71,-5.71,-5.71
