Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL
ACI,Sell,562.5,590.0,624.2,541.67,TP Hit,538,2026-08-04,4.36,4.36,4.36,4.36,0.00,4.36,,,,,,,,,,,,
AYE,Sell,177.22,191.6999969482422,207.32,165.98,TP Hit,165.98,2026-08-05,5.65,2.09,5.65,2.09,-3.56,5.33,6.34,3.50,6.34,2.09,-3.56,6.34,,,,,,
BIRLANU,Sell,1326.62,1332.0598378419938,1421.61,1255.6,SL Hit,1421.61,2026-08-05,-0.74,-3.35,-0.74,-3.35,-3.35,-2.16,-1.61,-7.16,-0.74,-7.16,-7.16,-7.16,,,,,,
SUNFLAG,Sell,350.25,361.1000061035156,383.58,332.98,SL Hit,383.58,2026-08-06,-4.38,-7.32,-4.38,-7.32,-7.32,-5.14,-4.18,-7.77,-4.18,-7.77,-7.77,-7.15,-8.21,-9.52,-4.18,-9.52,-9.52,-9.52
