Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL
ARIHANTSUP,Buy,255.6,251.45,239.22,268.89,TP Hit,268.89,2026-08-06,3.68,1.04,3.68,1.04,-2.64,1.27,3.27,1.17,3.68,1.04,-2.64,1.82,5.20,0.20,5.20,0.20,-5.00,5.20,,,,,,,,,,,,
NETWEB,Buy,4535.37,4497.2,4141.06,5065.8,TP Hit,5065.8,2026-08-10,5.39,1.27,5.39,1.27,-4.12,5.00,8.77,4.18,8.77,1.27,-4.59,7.90,9.80,5.46,9.80,1.27,-4.59,6.19,9.54,5.39,9.80,1.27,-4.59,8.90,11.70,7.79,11.70,1.27,-4.59,11.70
NIBE,Buy,1663.9,1660.0,1506.34,1792.07,SL Hit,1364.4,2026-08-04,-18.00,-18.00,-18.00,-18.00,-18.00,-18.00,,,,,,,,,,,,,,,,,,,,,,,,
PRIMESECU,Buy,291.3,288.15,273.05,303.84,TP Hit,303.84,2026-08-10,-1.82,-5.94,-1.82,-5.94,-5.94,-2.76,1.96,-3.40,1.96,-5.94,-5.94,0.02,-0.50,-3.19,1.96,-5.94,-5.94,-2.61,1.96,-3.09,1.96,-5.94,-5.94,1.63,4.30,0.55,4.30,-5.94,-5.94,4.30
RANEHOLDIN,Sell,1623.66,1665.369854815301,1790.65,1570.91,SL Hit,1894.5,2026-08-04,-16.68,-16.68,-16.68,-16.68,-16.68,-16.68,,,,,,,,,,,,,,,,,,,,,,,,
RICOAUTO,Buy,134.79,132.94,123.84,150.39,TP Hit,150.39,2026-08-04,11.57,5.35,11.57,5.35,-6.22,11.57,,,,,,,,,,,,,,,,,,,,,,,,
