Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL
CONFIPET,Sell,75.35,75.86000061035156,82.13,70.5,SL Hit,84.79,2026-08-04,-12.53,-12.53,-12.53,-12.53,-12.53,-12.53
CPPLUS,Sell,3637.75,3638.348360519923,3901.52,3501.2,TP Hit,3425.2,2026-08-04,5.84,5.84,5.84,5.84,0.00,5.84
