Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-09-15_DayMaxProfit,2026-09-15_DayMaxLoss,2026-09-15_MaxProfit,2026-09-15_MaxLoss,2026-09-15_MaxDrawdown,2026-09-15_CurrentPnL,2026-09-16_DayMaxProfit,2026-09-16_DayMaxLoss,2026-09-16_MaxProfit,2026-09-16_MaxLoss,2026-09-16_MaxDrawdown,2026-09-16_CurrentPnL,2026-09-17_DayMaxProfit,2026-09-17_DayMaxLoss,2026-09-17_MaxProfit,2026-09-17_MaxLoss,2026-09-17_MaxDrawdown,2026-09-17_CurrentPnL,2026-09-18_DayMaxProfit,2026-09-18_DayMaxLoss,2026-09-18_MaxProfit,2026-09-18_MaxLoss,2026-09-18_MaxDrawdown,2026-09-18_CurrentPnL,2026-09-21_DayMaxProfit,2026-09-21_DayMaxLoss,2026-09-21_MaxProfit,2026-09-21_MaxLoss,2026-09-21_MaxDrawdown,2026-09-21_CurrentPnL,2026-09-22_DayMaxProfit,2026-09-22_DayMaxLoss,2026-09-22_MaxProfit,2026-09-22_MaxLoss,2026-09-22_MaxDrawdown,2026-09-22_CurrentPnL,2026-09-23_DayMaxProfit,2026-09-23_DayMaxLoss,2026-09-23_MaxProfit,2026-09-23_MaxLoss,2026-09-23_MaxDrawdown,2026-09-23_CurrentPnL,2026-09-24_DayMaxProfit,2026-09-24_DayMaxLoss,2026-09-24_MaxProfit,2026-09-24_MaxLoss,2026-09-24_MaxDrawdown,2026-09-24_CurrentPnL,2026-09-25_DayMaxProfit,2026-09-25_DayMaxLoss,2026-09-25_MaxProfit,2026-09-25_MaxLoss,2026-09-25_MaxDrawdown,2026-09-25_CurrentPnL
NAHARSPING,Buy,273.1,267.0,253.69,317.59,Open,,,2.16,-6.63,2.16,-6.63,-8.79,-4.19,-1.79,-5.49,2.16,-6.63,-8.79,-4.14,4.16,-3.73,4.16,-6.63,-8.79,0.99,3.02,-1.85,4.16,-6.63,-8.79,-1.43,3.53,-1.87,4.16,-6.63,-8.79,2.49,3.22,1.43,4.16,-6.63,-8.79,1.74,3.63,-0.51,4.16,-6.63,-8.79,1.59,3.92,-1.94,4.16,-6.63,-8.79,-0.92,-0.18,-3.31,4.16,-6.63,-8.79,-1.15
NEOGEN,Sell,2373.0,2390.0,2512.81,2153.02,Open,,,5.84,-1.13,5.84,-1.13,-6.97,2.64,7.17,1.06,7.17,-1.13,-6.97,2.98,4.17,-4.71,7.17,-4.71,-11.88,-0.95,-0.13,-5.28,7.17,-5.28,-12.45,-4.86,1.64,-5.34,7.17,-5.34,-12.51,0.56,0.39,-1.04,7.17,-5.34,-12.51,-0.26,0.72,-2.14,7.17,-5.34,-12.51,-0.80,3.22,-1.62,7.17,-5.34,-12.51,1.98,1.98,-1.52,7.17,-5.34,-12.51,-0.51
NOCIL,Sell,189.65,193.5,207.18,183.31,TP Hit,183.31,2026-09-15,3.34,-1.24,3.34,-1.24,-4.58,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYPLEX,Buy,1134.2,1116.0,1067.0,1205.09,SL Hit,1067.0,2026-09-16,0.36,-3.80,0.36,-3.80,-4.16,-3.56,-3.02,-5.92,0.36,-5.92,-6.28,-5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPRPL,Sell,36.17,36.400001525878906,41.4,34.29,TP Hit,34.29,2026-09-15,5.20,-1.41,5.20,-1.41,-6.61,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
