Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL
EKC,Sell,122.88,127.37000274658203,139.5,107.51,TP Hit,107.51,2026-08-06,11.70,9.67,11.70,9.67,-2.03,11.26,11.78,9.78,11.78,9.67,-2.03,10.86,12.51,8.04,12.51,8.04,-4.47,12.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSB,Sell,946.25,956.0,997.23,892.25,TP Hit,856,2026-08-04,9.54,9.54,9.54,9.54,0.00,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEMONTREE,Sell,118.91,120.0,125.02,112.38,TP Hit,112.38,2026-08-06,5.39,3.80,5.39,3.80,-1.59,4.73,5.39,2.72,5.39,2.72,-2.67,5.24,5.49,4.34,5.49,2.72,-2.67,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINC,Sell,109.88,114.0,118.89,97.65,TP Hit,97.65,2026-08-10,8.54,5.33,8.54,5.33,-3.20,7.46,8.54,4.53,8.54,4.53,-4.01,8.11,8.07,5.35,8.54,4.53,-4.01,7.81,9.89,8.17,9.89,4.53,-4.01,9.12,11.13,4.90,11.13,4.53,-6.23,11.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCC,Sell,153.73,157.42001387961375,163.16,147.78,TP Hit,145.2,2026-08-04,5.55,5.55,5.55,5.55,0.00,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGEL,Sell,562.4,568.4500122070312,598.88,531.45,SL Hit,619,2026-08-04,-10.06,-10.06,-10.06,-10.06,-10.06,-10.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECOT,Sell,722.22,760.9719125053105,826.28,684.48,SL Hit,826.28,2026-08-05,-10.26,-13.56,-10.26,-13.56,-13.56,-11.47,-12.72,-14.41,-10.26,-14.41,-14.41,-14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVISCL,Sell,3569.68,3671.395676607122,3821.51,3162.66,Open,,,-0.05,-3.03,-0.05,-3.03,-3.03,-2.54,-1.59,-4.52,-0.05,-4.52,-4.52,-2.19,-0.90,-3.58,-0.05,-4.52,-4.52,-2.53,-1.44,-3.39,-0.05,-4.52,-4.52,-2.08,-0.77,-3.03,-0.05,-4.52,-4.52,-1.21,-0.15,-1.87,-0.05,-4.52,-4.52,-0.48,0.48,-0.94,0.48,-4.52,-4.52,-0.31,1.44,-0.31,1.44,-4.52,-4.52,1.15,3.31,0.79,3.31,-4.52,-4.52,2.45,4.02,1.66,4.02,-4.52,-4.52,3.38,4.50,2.39,4.50,-4.52,-4.52,3.22,4.47,2.35,4.50,-4.52,-4.52,2.85,3.63,2.13,4.50,-4.52,-4.52,3.34,3.57,2.02,4.50,-4.52,-4.52,2.52,3.63,1.67,4.50,-4.52,-4.52,3.45,4.19,2.79,4.50,-4.52,-4.52,3.50,3.53,2.51,4.50,-4.52,-4.52,3.12,3.35,2.26,4.50,-4.52,-4.52,3.17,4.68,2.23,4.68,-4.52,-4.52,3.13,3.27,2.12,4.68,-4.52,-4.52,2.68,7.28,2.38,7.28,-4.52,-4.91,6.27,7.46,4.81,7.46,-4.52,-4.91,6.57,7.20,4.50,7.46,-4.52,-4.91,5.50
SHARDAMOTR,Sell,825.75,830.5,868.76,789.03,SL Hit,912.3,2026-08-04,-10.48,-10.48,-10.48,-10.48,-10.48,-10.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLPETRO,Sell,749.65,767.1057384054072,805.53,689.96,TP Hit,689.96,2026-08-11,5.29,3.43,5.29,3.43,-1.86,4.38,6.10,3.67,6.10,3.43,-2.43,5.82,6.89,5.01,6.89,3.43,-2.43,6.27,7.50,5.61,7.50,3.43,-2.43,6.43,7.96,6.43,7.96,3.43,-2.43,7.46,7.96,6.72,7.96,3.43,-2.43,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
