Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL
BANSWRAS,Sell,130.34,132.77479130469942,143.03,121.32,TP Hit,121.32,2026-08-10,4.86,1.64,4.86,1.64,-3.22,3.72,6.55,2.42,6.55,1.64,-4.13,5.97,5.59,4.10,6.55,1.64,-4.13,5.03,6.25,4.49,6.55,1.64,-4.13,4.96,6.92,4.12,6.92,1.64,-4.13,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPPLUS,Sell,3612.76,3818.266566391405,4010.14,3501.2,TP Hit,3425.2,2026-08-04,5.19,5.19,5.19,5.19,0.00,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAPHITE,Sell,637.65,650.8550378879044,681.92,585.59,SL Hit,681.92,2026-08-04,-3.05,-6.94,-3.05,-6.94,-6.94,-6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRPL,Sell,174.49,175.49000549316406,186.61,157.67,SL Hit,186.61,2026-08-18,3.66,0.35,3.66,0.35,-3.31,2.78,2.83,0.25,3.66,0.25,-3.41,2.02,4.35,1.83,4.35,0.25,-3.41,3.85,5.21,3.22,5.21,0.25,-3.41,4.29,7.01,4.06,7.01,0.25,-3.41,6.61,7.62,-4.88,7.62,-4.88,-12.49,-3.81,0.73,-3.60,7.62,-4.88,-12.49,-0.51,1.48,-0.29,7.62,-4.88,-12.49,0.06,2.57,-1.26,7.62,-4.88,-12.49,2.26,2.43,-1.88,7.62,-4.88,-12.49,-1.52,-0.98,-6.95,7.62,-6.95,-14.57,-6.95
SOLARWORLD,Sell,206.46,212.0500030517578,230.99,206.35,TP Hit,184.62,2026-08-04,10.58,10.58,10.58,10.58,0.00,10.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
