Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL
GKSL,Buy,125.94,124.0,116.48,136.23,TP Hit,136.23,2026-08-06,4.02,0.65,4.02,0.65,-3.37,3.66,7.58,3.32,7.58,0.65,-4.26,6.85,8.17,4.61,8.17,0.65,-4.26,8.17
RIIL,Sell,768.6,776.2650829314524,838.16,766.56,TP Hit,750,2026-08-04,2.42,2.42,2.42,2.42,0.00,2.42,,,,,,,,,,,,
SILGO,Buy,76.68,74.42,68.82,81.64,SL Hit,68.82,2026-08-05,-4.28,-9.96,-4.28,-9.96,-9.96,-7.42,-6.65,-10.25,-4.28,-10.25,-10.25,-10.25,,,,,,
