Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice,Status,ExitPrice,ExitDate,2026-09-11_DayMaxProfit,2026-09-11_DayMaxLoss,2026-09-11_MaxProfit,2026-09-11_MaxLoss,2026-09-11_MaxDrawdown,2026-09-11_CurrentPnL,2026-09-15_DayMaxProfit,2026-09-15_DayMaxLoss,2026-09-15_MaxProfit,2026-09-15_MaxLoss,2026-09-15_MaxDrawdown,2026-09-15_CurrentPnL,2026-09-16_DayMaxProfit,2026-09-16_DayMaxLoss,2026-09-16_MaxProfit,2026-09-16_MaxLoss,2026-09-16_MaxDrawdown,2026-09-16_CurrentPnL,2026-09-17_DayMaxProfit,2026-09-17_DayMaxLoss,2026-09-17_MaxProfit,2026-09-17_MaxLoss,2026-09-17_MaxDrawdown,2026-09-17_CurrentPnL
AEGISLOG,Sell,1307.6,1351.199951171875,1449.48,1216.16,Open,,,1.52,-4.36,1.52,-4.36,-5.88,-3.52,-0.95,-5.92,1.52,-5.92,-7.44,-1.22,-0.20,-6.68,1.52,-6.68,-8.20,-5.63,-2.98,-5.95,1.52,-6.68,-8.20,-3.53
AXISCADES,Sell,1869.7,1876.0,2012.77,1741.72,TP Hit,1741.72,2026-09-15,2.93,0.16,2.93,0.16,-2.77,2.03,6.84,-0.35,6.84,-0.35,-7.19,6.84,,,,,,,,,,,,
MANAPPURAM,Buy,330.8,319.4,301.14,344.31,Open,,,-0.51,-2.33,-0.51,-2.33,-2.33,-0.54,-0.11,-3.96,-0.11,-3.96,-3.96,-3.61,-1.84,-4.10,-0.11,-4.10,-4.10,-3.30,-2.61,-4.78,-0.11,-4.78,-4.78,-4.46
MUKKA,Buy,30.57,30.35,26.5,31.73,TP Hit,31.73,2026-09-11,3.79,-6.58,3.79,-6.58,-10.37,3.79,,,,,,,,,,,,,,,,,,
SUPERHOUSE,Sell,171.67,183.0,198.12,158.48,Open,,,2.95,-1.28,2.95,-1.28,-4.23,1.17,1.56,-3.63,2.95,-3.63,-6.58,1.07,3.24,-2.96,3.24,-3.63,-6.58,2.44,2.60,-2.23,3.24,-3.63,-6.58,2.38
